,status,age,total_length,wingspan,weight,beak_head,humerus,femur,legbone,skull,sternum
1,Survived,adult,154,241,24.5,31.2,0.69,0.67,1.02,0.59,0.83
2,Survived,adult,160,252,26.9,30.8,0.74,0.71,1.18,0.60,0.84
3,Survived,adult,155,243,26.9,30.6,0.73,0.70,1.15,0.60,0.85
4,Survived,adult,154,245,24.3,31.7,0.74,0.69,1.15,0.58,0.84
5,Survived,adult,156,247,24.1,31.5,0.71,0.71,1.13,0.57,0.82
6,Survived,adult,161,253,26.5,31.8,0.78,0.74,1.14,0.61,0.89
7,Survived,adult,157,251,24.6,31.1,0.74,0.74,1.15,0.61,0.86
8,Survived,adult,159,247,24.2,31.4,0.73,0.72,1.13,0.61,0.79
9,Survived,adult,158,247,23.6,29.8,0.70,0.67,1.08,0.60,0.82
10,Survived,adult,158,252,26.2,32.0,0.75,0.74,1.15,0.61,0.86
11,Survived,adult,160,252,26.2,32.0,0.74,0.72,1.13,0.62,0.89
12,Survived,adult,162,253,24.8,32.3,0.77,0.75,1.13,0.63,0.92
13,Survived,adult,161,243,25.4,31.8,0.72,0.72,1.13,0.60,0.89
14,Survived,adult,160,250,23.7,29.8,0.73,0.70,1.10,0.59,0.82
15,Survived,adult,159,247,25.7,31.4,0.73,0.72,1.14,0.59,0.93
16,Survived,adult,158,253,25.7,31.9,0.74,0.70,1.15,0.60,0.86
17,Survived,adult,159,247,26.5,31.6,0.73,0.71,1.15,0.61,0.92
18,Survived,adult,166,253,26.7,32.5,0.77,0.76,1.23,0.60,0.88
19,Survived,adult,159,247,23.9,31.4,0.75,0.72,1.11,0.60,0.82
20,Survived,adult,160,248,24.7,31.3,0.75,0.74,1.18,0.60,0.80
21,Survived,adult,161,252,28.0,31.8,0.77,0.73,1.19,0.59,0.88
22,Survived,adult,163,251,27.9,31.9,0.77,0.75,1.17,0.62,0.86
23,Survived,adult,156,242,25.9,32.0,0.72,0.71,1.12,0.61,0.89
24,Survived,adult,165,251,25.7,32.2,0.75,0.74,1.16,0.61,0.87
25,Survived,adult,160,247,26.6,32.4,0.73,0.71,1.11,0.59,0.84
26,Survived,adult,158,244,23.2,31.6,0.73,0.71,1.14,0.58,0.89
27,Survived,adult,160,242,25.7,31.6,0.71,0.70,1.12,0.62,0.79
28,Survived,adult,157,245,26.3,32.2,0.74,0.73,1.14,0.60,0.85
29,Survived,adult,159,244,24.3,31.5,0.72,0.70,1.11,0.62,0.85
30,Survived,adult,160,253,26.7,32.1,0.74,0.71,1.12,0.59,0.86
31,Survived,adult,158,245,24.9,31.4,0.73,0.70,1.12,0.58,0.85
32,Survived,adult,161,247,23.8,31.4,0.74,0.69,1.10,0.60,0.78
33,Survived,adult,160,247,25.6,32.3,0.76,0.75,1.13,0.61,0.90
34,Survived,adult,160,247,27.0,32.0,0.75,0.74,1.17,0.63,0.87
35,Survived,adult,153,241,24.7,32.2,0.73,0.68,1.09,0.59,0.88
36,Perished,adult,165,249,26.5,31.0,0.74,0.70,1.10,0.61,0.85
37,Perished,adult,160,245,26.1,32.0,0.74,0.71,1.11,0.61,0.84
38,Perished,adult,161,249,25.6,32.3,0.74,0.72,1.13,0.60,0.83
39,Perished,adult,162,246,25.9,32.3,0.74,0.71,1.13,0.61,0.87
40,Perished,adult,163,250,25.5,32.5,0.75,0.73,1.20,0.62,0.89
41,Perished,adult,162,247,27.6,31.8,0.73,0.72,1.11,0.60,0.87
42,Perished,adult,163,246,25.8,31.4,0.69,0.66,1.07,0.60,0.84
43,Perished,adult,161,246,24.9,30.5,0.74,0.73,1.14,0.58,0.80
44,Perished,adult,160,242,26.0,31.0,0.75,0.71,1.11,0.60,0.80
45,Perished,adult,162,246,26.5,31.5,0.72,0.70,1.09,0.61,0.81
46,Perished,adult,160,249,26.0,31.4,0.73,0.69,1.10,0.60,0.85
47,Perished,adult,161,250,27.1,31.6,0.74,0.71,1.12,0.63,0.85
48,Perished,adult,162,248,25.1,31.9,0.74,0.72,1.15,0.59,0.84
49,Perished,adult,165,252,26.0,32.3,0.73,0.71,1.14,0.61,0.89
50,Perished,adult,161,243,25.6,32.5,0.71,0.71,1.12,0.61,0.83
51,Perished,adult,161,244,25.0,31.3,0.70,0.69,1.08,0.60,0.87
52,Perished,adult,162,248,24.6,31.0,0.71,0.70,1.09,0.59,0.84
53,Perished,adult,164,244,25.0,31.2,0.70,0.69,1.07,0.61,0.80
54,Perished,adult,158,247,26.0,32.0,0.73,0.71,1.14,0.61,0.80
55,Perished,adult,162,253,28.3,31.8,0.75,0.72,1.15,0.60,0.86
56,Perished,adult,156,239,24.6,30.5,0.66,0.66,1.04,0.57,0.81
57,Perished,adult,166,251,27.5,31.5,0.72,0.69,1.12,0.61,0.85
58,Perished,adult,165,253,31.0,32.4,0.76,0.75,1.18,0.61,0.90
59,Perished,adult,166,250,28.3,32.4,0.75,0.72,1.18,0.61,0.92
60,Survived,juvenile,156,246,24.6,32.0,0.74,0.74,1.17,0.59,0.85
61,Survived,juvenile,156,245,25.5,32.1,0.76,0.72,1.15,0.62,0.82
62,Survived,juvenile,163,248,24.8,32.2,0.74,0.73,1.16,0.61,0.85
63,Survived,juvenile,163,248,26.3,33.0,0.74,0.70,1.15,0.61,0.84
64,Survived,juvenile,160,250,24.4,31.5,0.75,0.71,1.17,0.60,0.89
